view_history,rt,typeoftrial,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,ID,stimulus,response,novel,valence,correct,cue,target,prime,correct_key,age,gender,education,question_order,race,hispanic,dominant_hand,alert_time,english
,6120,sentence,html-keyboard-response,10,55491,0.0-1.0-0.0-0.8,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,She had never heard of a nuppical horse., ,nuppical,neutral,,,,,,,,,,,,,,
,2861,sentence,html-keyboard-response,11,58353,0.0-1.0-0.0-0.9,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,He really hoped to see a foobly horse., ,foobly,positive,,,,,,,,,,,,,,
,788,sentence,html-keyboard-response,12,59142,0.0-1.0-0.0-0.10,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I hope they don't have a dodish apple., ,dodish,negative,,,,,,,,,,,,,,
,872,sentence,html-keyboard-response,13,60015,0.0-1.0-0.0-0.11,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,"At the grocery store, I saw a nuppical apple.", ,nuppical,neutral,,,,,,,,,,,,,,
,659,sentence,html-keyboard-response,14,60675,0.0-1.0-0.0-0.12,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I hope I don't see a dodish horse, ,dodish,negative,,,,,,,,,,,,,,
,874,sentence,html-keyboard-response,15,61551,0.0-1.0-0.0-0.13,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,I was thrilled when I finally got my own foobly horse, ,foobly,positive,,,,,,,,,,,,,,
,901,sentence,html-keyboard-response,16,62453,0.0-1.0-0.0-0.14,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,He would prefer a foobly apple., ,foobly,positive,,,,,,,,,,,,,,
,786,sentence,html-keyboard-response,17,63240,0.0-1.0-0.0-0.15,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,Everyone prefers a foobly apple., ,foobly,positive,,,,,,,,,,,,,,
,856,sentence,html-keyboard-response,18,64097,0.0-1.0-0.0-0.16,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,She is so excited to try a foobly apple., ,foobly,positive,,,,,,,,,,,,,,
,1135,sentence,html-keyboard-response,19,65234,0.0-1.0-0.0-0.17,12,1,11/12/24 3:15,8cfd50b442d200139d34a594654a8206,139.140.204.53,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Macintosh,Chrome,130.0.0.0,OS X,10_15_7,https://dx9f2prhnj.cognition.run/,"en-US,en;q=0.9",345071762,In the basket there was a nuppical apple., ,nuppical,neutral,,,,,,,,,,,,,,
